codigo pais m49,codigo iso3,pais origen,anio,capitulo,valor dolares cif,valor dolares cif log,continente,region,bloque economico
646,RWA,Ruanda,2024,TOTAL,6237.08,3.794981315,África,Resto de África,
642,ROU,Rumania,2024,TOTAL,83322465.59,7.920762113,Europa,Europa Oriental,
659,KNA,Saint Kitts y Nevis,2024,TOTAL,281075.39,5.448822822,América,Centroamérica y Caribe,
16,ASM,Samoa Americana,2024,TOTAL,895.39,2.95201224,Oceanía,Oceanía,
674,SMR,San Marino,2024,TOTAL,138989.26,5.142981243,Europa,Europa Meridional,
654,SHN,Santa Elena,2024,TOTAL,2405.4,3.381187307,África,Resto de África,
662,LCA,Santa Lucía,2024,TOTAL,1910.3,3.281101576,América,Centroamérica y Caribe,
336,VAT,Santa Sede,2024,TOTAL,33004.37,4.518571447,Europa,Europa Meridional,
678,STP,Santo Tomé y Príncipe,2024,TOTAL,654383.52,5.815832354,África,Resto de África,
686,SEN,Senegal,2024,TOTAL,754327.25,5.877559797,África,Resto de África,
688,SRB,Serbia,2024,TOTAL,1184491.42,6.073531919,Europa,Europa Meridional,
690,SYC,Seychelles,2024,TOTAL,59559.9,4.77495396,África,Resto de África,
694,SLE,Sierra Leona,2024,TOTAL,9875.93,3.994578003,África,Resto de África,
702,SGP,Singapur,2024,TOTAL,142853334.04,8.154890381,Asia,Sudeste Asiático,
706,SOM,Somalia,2024,TOTAL,3726.58,3.571310449,África,Resto de África,
144,LKA,Sri Lanka,2024,TOTAL,21251863.9,7.327397026,Asia,Asia Meridional,
710,ZAF,Sudáfrica,2024,TOTAL,40990752.34,7.612685889,África,Resto de África,BRICS
729,SDN,Sudán,2024,TOTAL,128181.43,5.107825112,África,Norte de África,
752,SWE,Suecia,2024,TOTAL,228105172.63,8.358135134,Europa,Europa Septentrional,OCDE
756,CHE,Suiza,2024,"Aceites esenciales, perfumería, cosméticos",10875444.64,7.036447022,Europa,Europa Occidental,OCDE
756,CHE,Suiza,2024,"Extractos curtientes, pinturas, tintas",16550588.29,7.218813435,Europa,Europa Occidental,OCDE
756,CHE,Suiza,2024,"Instrumentos y aparatos de óptica, fotografía, cinematografía",43150828.31,7.634989137,Europa,Europa Occidental,OCDE
756,CHE,Suiza,2024,Productos farmacéuticos,200384418.5,8.301863949,Europa,Europa Occidental,OCDE
756,CHE,Suiza,2024,Productos químicos orgánicos,41676691.2,7.619893232,Europa,Europa Occidental,OCDE
756,CHE,Suiza,2024,TOTAL,461805840.87,8.664459422,Europa,Europa Occidental,OCDE
740,SUR,Surinam,2024,TOTAL,1504862.93,6.177496944,América,Sudamérica,
764,THA,Tailandia,2024,"Calzado, botines, artículos análogos y partes",723282.85,5.859308168,Asia,Sudeste Asiático,
764,THA,Tailandia,2024,Caucho y manufacturas,43425196.96,7.637741797,Asia,Sudeste Asiático,
764,THA,Tailandia,2024,Cereales,338197.42,5.52917029,Asia,Sudeste Asiático,
764,THA,Tailandia,2024,Disposiciones de tratamiento especial,11177363.1,7.048339359,Asia,Sudeste Asiático,
764,THA,Tailandia,2024,TOTAL,425150946.36,8.62854315,Asia,Sudeste Asiático,
158,TWN,Taiwán (Provincia de China),2024,"Aparatos y material eléctrico, de grabación o imagen",105514220.83,8.023310996,Asia,Asia Oriental,
158,TWN,Taiwán (Provincia de China),2024,Disposiciones de tratamiento especial,23191.0,4.365319476,Asia,Asia Oriental,
158,TWN,Taiwán (Provincia de China),2024,Materias plásticas y manufacturas,53139606.1,7.725418331,Asia,Asia Oriental,
158,TWN,Taiwán (Provincia de China),2024,Productos químicos orgánicos,7816045.32,6.892987069,Asia,Asia Oriental,
158,TWN,Taiwán (Provincia de China),2024,TOTAL,365563224.58,8.5629625,Asia,Asia Oriental,
768,TGO,Togo,2024,TOTAL,4970.39,3.696390467,África,Resto de África,
772,TKL,Tokelau,2024,TOTAL,266433.26,5.425588439,Oceanía,Oceanía,
780,TTO,Trinidad y Tobago,2024,Abonos,29425184.09,7.468719189,América,Centroamérica y Caribe,
780,TTO,Trinidad y Tobago,2024,Combustibles y aceites minerales y sus productos,134668361.06,8.129265575,América,Centroamérica y Caribe,
780,TTO,Trinidad y Tobago,2024,Productos químicos inorgánicos,43964559.95,7.643102731,América,Centroamérica y Caribe,
780,TTO,Trinidad y Tobago,2024,Productos químicos orgánicos,32979407.95,7.518242855,América,Centroamérica y Caribe,
780,TTO,Trinidad y Tobago,2024,TOTAL,247616276.92,8.393779189,América,Centroamérica y Caribe,
795,TKM,Turkmenistán,2024,TOTAL,83355.2,4.920932698,Asia,Asia Central,
792,TUR,Turquía,2024,Algodón,4196177.37,6.622853837,Asia,Asia Occidental,OCDE
792,TUR,Turquía,2024,Cobre y sus manufacturas,10667384.1,7.028057933,Asia,Asia Occidental,OCDE
792,TUR,Turquía,2024,"Fundición, hierro y acero",74447853.3,7.871852179,Asia,Asia Occidental,OCDE
792,TUR,Turquía,2024,TOTAL,296136199.84,8.471491499,Asia,Asia Occidental,OCDE
788,TUN,Túnez,2024,TOTAL,6143045.7,6.788383746,África,Norte de África,
804,UKR,Ucrania,2024,"Fundición, hierro y acero",15306815.06,7.184884835,Europa,Europa Oriental,
804,UKR,Ucrania,2024,TOTAL,29287678.89,7.466684954,Europa,Europa Oriental,
858,URY,Uruguay,2024,"Aceites esenciales, perfumería, cosméticos",18976889.28,7.278225024,América,Sudamérica,
858,URY,Uruguay,2024,Cereales,8929433.17,6.950823891,América,Sudamérica,
858,URY,Uruguay,2024,TOTAL,111333311.13,8.046625125,América,Sudamérica,
860,UZB,Uzbekistán,2024,TOTAL,4471464.42,6.650449779,Asia,Asia Central,
862,VEN,Venezuela (República Bolivariana de),2024,Abonos,19543019.43,7.290991664,América,Sudamérica,CAN
862,VEN,Venezuela (República Bolivariana de),2024,Combustibles y aceites minerales y sus productos,5007237.74,6.699598212,América,Sudamérica,CAN
862,VEN,Venezuela (República Bolivariana de),2024,Productos diversos de las industrias químicas,283015.31,5.45180993,América,Sudamérica,CAN
862,VEN,Venezuela (República Bolivariana de),2024,Productos químicos inorgánicos,1355417.1,6.13207296,América,Sudamérica,CAN
862,VEN,Venezuela (República Bolivariana de),2024,Productos químicos orgánicos,5629281.94,6.750453001,América,Sudamérica,CAN
862,VEN,Venezuela (República Bolivariana de),2024,TOTAL,134099913.82,8.127428499,América,Sudamérica,CAN
704,VNM,Vietnam,2024,"Aparatos y material eléctrico, de grabación o imagen",391240969.62,8.592444327,Asia,Sudeste Asiático,
704,VNM,Vietnam,2024,"Calzado, botines, artículos análogos y partes",119007816.72,8.075575488,Asia,Sudeste Asiático,
704,VNM,Vietnam,2024,TOTAL,1005685530.7,9.002462202,Asia,Sudeste Asiático,
894,ZMB,Zambia,2024,TOTAL,1084.75,3.035329659,África,Resto de África,
716,ZWE,Zimbabwe,2024,TOTAL,32890.2,4.517066514,África,Resto de África,
4,AFG,Afganistán,2025,TOTAL,383691.35,5.583982009,Asia,Asia Meridional,
8,ALB,Albania,2025,TOTAL,529779.66,5.72409528,Europa,Europa Meridional,
276,DEU,Alemania,2025,Abonos,63255468.9,7.801098079,Europa,Europa Occidental,OCDE
