codigo pais m49,codigo iso3,pais origen,anio,capitulo,valor dolares cif,valor dolares cif log,continente,region,bloque economico
784,ARE,Emiratos Árabes Unidos,2025,TOTAL,70780768.07,7.849915271,Asia,Asia Occidental,BRICS
232,ERI,Eritrea,2025,TOTAL,19699.89,4.294463801,África,Resto de África,
703,SVK,Eslovaquia,2025,TOTAL,45437779.62,7.657417101,Europa,Europa Oriental,OCDE
705,SVN,Eslovenia,2025,TOTAL,58064125.97,7.763907893,Europa,Europa Meridional,OCDE
724,ESP,España,2025,"Aceites esenciales, perfumería, cosméticos",131086963.96,8.117559505,Europa,Europa Meridional,OCDE
724,ESP,España,2025,"Calzado, botines, artículos análogos y partes",4701182.35,6.672207097,Europa,Europa Meridional,OCDE
724,ESP,España,2025,Disposiciones de tratamiento especial,1058618.29,6.024739393,Europa,Europa Meridional,OCDE
724,ESP,España,2025,"Extractos curtientes, pinturas, tintas",30660178.31,7.486574676,Europa,Europa Meridional,OCDE
724,ESP,España,2025,"Fundición, hierro y acero",9218508.45,6.964660658,Europa,Europa Meridional,OCDE
724,ESP,España,2025,Grasas y aceites animales o vegetales,55255799.47,7.742377867,Europa,Europa Meridional,OCDE
724,ESP,España,2025,"Manufactura de fundición, de hierro o acero",25992425.42,7.414846807,Europa,Europa Meridional,OCDE
724,ESP,España,2025,Navegación aérea o espacial,21368959.32,7.329783372,Europa,Europa Meridional,OCDE
724,ESP,España,2025,"Papel, cartón y sus manufacturas",31953147.01,7.504513638,Europa,Europa Meridional,OCDE
724,ESP,España,2025,Productos farmacéuticos,130801096.92,8.116611386,Europa,Europa Meridional,OCDE
